district,date,month,year,visitors
Khammam,1/4/2017,April,2017,0
Khammam,1/5/2017,May,2017,0
Khammam,1/6/2017,June,2017,0
Khammam,1/7/2017,July,2017,0
Khammam,1/8/2017,August,2017,0
Khammam,1/9/2017,September,2017,0
Khammam,1/10/2017,October,2017,0
Khammam,1/11/2017,November,2017,0
Khammam,1/12/2017,December,2017,0
Komaram Bheem Asifabad,1/1/2017,January,2017,0
Komaram Bheem Asifabad,1/2/2017,February,2017,0
Komaram Bheem Asifabad,1/3/2017,March,2017,0
Komaram Bheem Asifabad,1/4/2017,April,2017,0
Komaram Bheem Asifabad,1/5/2017,May,2017,0
Komaram Bheem Asifabad,1/6/2017,June,2017,0
Komaram Bheem Asifabad,1/7/2017,July,2017,0
Komaram Bheem Asifabad,1/8/2017,August,2017,0
Komaram Bheem Asifabad,1/9/2017,September,2017,0
Komaram Bheem Asifabad,1/10/2017,October,2017,0
Komaram Bheem Asifabad,1/11/2017,November,2017,0
Komaram Bheem Asifabad,1/12/2017,December,2017,0
Mahabubabad ,1/1/2017,January,2017,0
Mahabubabad ,1/2/2017,February,2017,0
Mahabubabad ,1/3/2017,March,2017,0
Mahabubabad ,1/4/2017,April,2017,0
Mahabubabad ,1/5/2017,May,2017,0
Mahabubabad ,1/6/2017,June,2017,0
Mahabubabad ,1/7/2017,July,2017,0
Mahabubabad ,1/8/2017,August,2017,0
Mahabubabad ,1/9/2017,September,2017,0
Mahabubabad ,1/10/2017,October,2017,0
Mahabubabad ,1/11/2017,November,2017,0
Mahabubabad ,1/12/2017,December,2017,0
Mahbubnagar,1/1/2017,January,2017,42
Mahbubnagar,1/2/2017,February,2017,39
Mahbubnagar,1/3/2017,March,2017,38
Mahbubnagar,1/4/2017,April,2017,39
Mahbubnagar,1/5/2017,May,2017,41
Mahbubnagar,1/6/2017,June,2017,43
Mahbubnagar,1/7/2017,July,2017,42
Mahbubnagar,1/8/2017,August,2017,44
Mahbubnagar,1/9/2017,September,2017,54
Mahbubnagar,1/10/2017,October,2017,47
Mahbubnagar,1/11/2017,November,2017,49
Mahbubnagar,1/12/2017,December,2017,42
Mancherial,1/1/2017,January,2017,0
Mancherial,1/2/2017,February,2017,0
Mancherial,1/3/2017,March,2017,0
Mancherial,1/4/2017,April,2017,0
Mancherial,1/5/2017,May,2017,0
Mancherial,1/6/2017,June,2017,0
Mancherial,1/7/2017,July,2017,0
Mancherial,1/8/2017,August,2017,0
Mancherial,1/9/2017,September,2017,0
Mancherial,1/10/2017,October,2017,0
Mancherial,1/11/2017,November,2017,0
Mancherial,1/12/2017,December,2017,0
Medak ,1/1/2017,January,2017,0
Medak ,1/2/2017,February,2017,0
Medak ,1/3/2017,March,2017,0
Medak ,1/4/2017,April,2017,0
Medak ,1/5/2017,May,2017,0
Medak ,1/6/2017,June,2017,0
Medak ,1/7/2017,July,2017,0
Medak ,1/8/2017,August,2017,0
Medak ,1/9/2017,September,2017,0
Medak ,1/10/2017,October,2017,0
Medak ,1/11/2017,November,2017,0
Medak ,1/12/2017,December,2017,0
Nagarkurnool ,1/1/2017,January,2017,19
Nagarkurnool ,1/2/2017,February,2017,25
Nagarkurnool ,1/3/2017,March,2017,24
Nagarkurnool ,1/4/2017,April,2017,29
Nagarkurnool ,1/5/2017,May,2017,31
Nagarkurnool ,1/6/2017,June,2017,35
Nagarkurnool ,1/7/2017,July,2017,25
Nagarkurnool ,1/8/2017,August,2017,23
Nagarkurnool ,1/9/2017,September,2017,32
Nagarkurnool ,1/10/2017,October,2017,18
Nagarkurnool ,1/11/2017,November,2017,21
Nagarkurnool ,1/12/2017,December,2017,29
Nalgonda,1/1/2017,January,2017,0
Nalgonda,1/2/2017,February,2017,0
Nalgonda,1/3/2017,March,2017,0
Nalgonda,1/4/2017,April,2017,0
Nalgonda,1/5/2017,May,2017,0
Nalgonda,1/6/2017,June,2017,0
Nalgonda,1/7/2017,July,2017,0
Nalgonda,1/8/2017,August,2017,0
Nalgonda,1/9/2017,September,2017,0
Nalgonda,1/10/2017,October,2017,0
Nalgonda,1/11/2017,November,2017,0
Nalgonda,1/12/2017,December,2017,0
Nirmal,1/1/2017,January,2017,0
Nirmal,1/2/2017,February,2017,0
Nirmal,1/3/2017,March,2017,0
Nirmal,1/4/2017,April,2017,0
Nirmal,1/5/2017,May,2017,0
Nirmal,1/6/2017,June,2017,0
Nirmal,1/7/2017,July,2017,0
Nirmal,1/8/2017,August,2017,0
Nirmal,1/9/2017,September,2017,0
Nirmal,1/10/2017,October,2017,0
Nirmal,1/11/2017,November,2017,0
Nirmal,1/12/2017,December,2017,0
Nizamabad,1/1/2017,January,2017,0
Nizamabad,1/2/2017,February,2017,0
Nizamabad,1/3/2017,March,2017,0
Nizamabad,1/4/2017,April,2017,2
Nizamabad,1/5/2017,May,2017,0
Nizamabad,1/6/2017,June,2017,0
Nizamabad,1/7/2017,July,2017,0
Nizamabad,1/8/2017,August,2017,0
Nizamabad,1/9/2017,September,2017,0
Nizamabad,1/10/2017,October,2017,0
Nizamabad,1/11/2017,November,2017,0
Nizamabad,1/12/2017,December,2017,0
Peddapalli,1/1/2017,January,2017,0
Peddapalli,1/2/2017,February,2017,0
Peddapalli,1/3/2017,March,2017,0
Peddapalli,1/4/2017,April,2017,0
Peddapalli,1/5/2017,May,2017,0
Peddapalli,1/6/2017,June,2017,0
Peddapalli,1/7/2017,July,2017,0
Peddapalli,1/8/2017,August,2017,0
Peddapalli,1/9/2017,September,2017,0
Peddapalli,1/10/2017,October,2017,0
Peddapalli,1/11/2017,November,2017,0
Peddapalli,1/12/2017,December,2017,0
Rajanna Sircilla ,1/1/2017,January,2017,0
Rajanna Sircilla ,1/2/2017,February,2017,0
Rajanna Sircilla ,1/3/2017,March,2017,0
Rajanna Sircilla ,1/4/2017,April,2017,0
Rajanna Sircilla ,1/5/2017,May,2017,0
Rajanna Sircilla ,1/6/2017,June,2017,0
Rajanna Sircilla ,1/7/2017,July,2017,0
Rajanna Sircilla ,1/8/2017,August,2017,0
Rajanna Sircilla ,1/9/2017,September,2017,0
Rajanna Sircilla ,1/10/2017,October,2017,0
Rajanna Sircilla ,1/11/2017,November,2017,0
Rajanna Sircilla ,1/12/2017,December,2017,0
Sangareddy ,1/1/2017,January,2017,0
Sangareddy ,1/2/2017,February,2017,0
Sangareddy ,1/3/2017,March,2017,0
Sangareddy ,1/4/2017,April,2017,0
Sangareddy ,1/5/2017,May,2017,0
Sangareddy ,1/6/2017,June,2017,0
Sangareddy ,1/7/2017,July,2017,0
Sangareddy ,1/8/2017,August,2017,0
Sangareddy ,1/9/2017,September,2017,0
Sangareddy ,1/10/2017,October,2017,0
Sangareddy ,1/11/2017,November,2017,0
Sangareddy ,1/12/2017,December,2017,0
Siddipet,1/1/2017,January,2017,0
Siddipet,1/2/2017,February,2017,0
Siddipet,1/3/2017,March,2017,0
Siddipet,1/4/2017,April,2017,0
Siddipet,1/5/2017,May,2017,0
Siddipet,1/6/2017,June,2017,0
Siddipet,1/7/2017,July,2017,0
Siddipet,1/8/2017,August,2017,0
Siddipet,1/9/2017,September,2017,0
Siddipet,1/10/2017,October,2017,0
Siddipet,1/11/2017,November,2017,0
Siddipet,1/12/2017,December,2017,0
Wanaparthy ,1/1/2017,January,2017,0
Wanaparthy ,1/2/2017,February,2017,0
Wanaparthy ,1/3/2017,March,2017,0
Wanaparthy ,1/4/2017,April,2017,0
Wanaparthy ,1/5/2017,May,2017,0
Wanaparthy ,1/6/2017,June,2017,0
Wanaparthy ,1/7/2017,July,2017,0
Wanaparthy ,1/8/2017,August,2017,0
Wanaparthy ,1/9/2017,September,2017,0
Wanaparthy ,1/10/2017,October,2017,0
Wanaparthy ,1/11/2017,November,2017,0
Wanaparthy ,1/12/2017,December,2017,0
Warangal (Rural),1/1/2017,January,2017,35
Warangal (Rural),1/2/2017,February,2017,25
Warangal (Rural),1/3/2017,March,2017,17
Warangal (Rural),1/4/2017,April,2017,19
Warangal (Rural),1/5/2017,May,2017,21
Warangal (Rural),1/6/2017,June,2017,24
Warangal (Rural),1/7/2017,July,2017,25
Warangal (Rural),1/8/2017,August,2017,28
Warangal (Rural),1/9/2017,September,2017,26
Warangal (Rural),1/10/2017,October,2017,25
Warangal (Rural),1/11/2017,November,2017,29
Warangal (Rural),1/12/2017,December,2017,32
Warangal (Urban),1/1/2017,January,2017,235
Warangal (Urban),1/2/2017,February,2017,242
Warangal (Urban),1/3/2017,March,2017,238
Warangal (Urban),1/4/2017,April,2017,209
Warangal (Urban),1/5/2017,May,2017,211
Warangal (Urban),1/6/2017,June,2017,194
Warangal (Urban),1/7/2017,July,2017,116
Warangal (Urban),1/8/2017,August,2017,219
Warangal (Urban),1/9/2017,September,2017,225
Warangal (Urban),1/10/2017,October,2017,236
Warangal (Urban),1/11/2017,November,2017,255
Warangal (Urban),1/12/2017,December,2017,250
Yadadri Bhongir,1/1/2017,January,2017,0
Yadadri Bhongir,1/2/2017,February,2017,0
Yadadri Bhongir,1/3/2017,March,2017,0
Yadadri Bhongir,1/4/2017,April,2017,0
Yadadri Bhongir,1/5/2017,May,2017,0
Yadadri Bhongir,1/6/2017,June,2017,0
Yadadri Bhongir,1/7/2017,July,2017,0
Yadadri Bhongir,1/8/2017,August,2017,0
Yadadri Bhongir,1/9/2017,September,2017,0
Yadadri Bhongir,1/10/2017,October,2017,0
Yadadri Bhongir,1/11/2017,November,2017,0
Yadadri Bhongir,1/12/2017,December,2017,0
Adilabad,1/1/2018,January,2018,0
Adilabad,1/2/2018,February,2018,0
Adilabad,1/3/2018,March,2018,0
Adilabad,1/4/2018,April,2018,0
Adilabad,1/5/2018,May,2018,0
Adilabad,1/6/2018,June,2018,0
Adilabad,1/7/2018,July,2018,2
Adilabad,1/8/2018,August,2018,3
Adilabad,1/9/2018,September,2018,0
Adilabad,1/10/2018,October,2018,0
Adilabad,1/11/2018,November,2018,0
Adilabad,1/12/2018,December,2018,0
Bhadradri Kothagudem ,1/1/2018,January,2018,0
Bhadradri Kothagudem ,1/2/2018,February,2018,0
Bhadradri Kothagudem ,1/3/2018,March,2018,0
Bhadradri Kothagudem ,1/4/2018,April,2018,0
Bhadradri Kothagudem ,1/5/2018,May,2018,0
Bhadradri Kothagudem ,1/6/2018,June,2018,0
Bhadradri Kothagudem ,1/7/2018,July,2018,0
Bhadradri Kothagudem ,1/8/2018,August,2018,0
Bhadradri Kothagudem ,1/9/2018,September,2018,0
Bhadradri Kothagudem ,1/10/2018,October,2018,0
Bhadradri Kothagudem ,1/11/2018,November,2018,0
Bhadradri Kothagudem ,1/12/2018,December,2018,0
Hyderabad,1/1/2018,January,2018,35379
Hyderabad,1/2/2018,February,2018,30414
Hyderabad,1/3/2018,March,2018,27535
Hyderabad,1/4/2018,April,2018,20830
Hyderabad,1/5/2018,May,2018,21554
Hyderabad,1/6/2018,June,2018,24677
Hyderabad,1/7/2018,July,2018,17456
Hyderabad,1/8/2018,August,2018,31217
Hyderabad,1/9/2018,September,2018,22809
Hyderabad,1/10/2018,October,2018,30072
Hyderabad,1/11/2018,November,2018,23487
Hyderabad,1/12/2018,December,2018,29358
Jagtial ,1/1/2018,January,2018,0
Jagtial ,1/2/2018,February,2018,0
Jagtial ,1/3/2018,March,2018,0
Jagtial ,1/4/2018,April,2018,0
Jagtial ,1/5/2018,May,2018,0
Jagtial ,1/6/2018,June,2018,0
Jagtial ,1/7/2018,July,2018,0
Jagtial ,1/8/2018,August,2018,0
Jagtial ,1/9/2018,September,2018,0
Jagtial ,1/10/2018,October,2018,0
Jagtial ,1/11/2018,November,2018,0
Jagtial ,1/12/2018,December,2018,0
Jangaon ,1/1/2018,January,2018,0
Jangaon ,1/2/2018,February,2018,0
Jangaon ,1/3/2018,March,2018,0
Jangaon ,1/4/2018,April,2018,0
Jangaon ,1/5/2018,May,2018,0
Jangaon ,1/6/2018,June,2018,0
Jangaon ,1/7/2018,July,2018,0
Jangaon ,1/8/2018,August,2018,0
Jangaon ,1/9/2018,September,2018,0
Jangaon ,1/10/2018,October,2018,0
Jangaon ,1/11/2018,November,2018,0
Jangaon ,1/12/2018,December,2018,0
Jayashankar Bhoopalpally,1/1/2018,January,2018,50
Jayashankar Bhoopalpally,1/2/2018,February,2018,60
Jayashankar Bhoopalpally,1/3/2018,March,2018,70
Jayashankar Bhoopalpally,1/4/2018,April,2018,45
Jayashankar Bhoopalpally,1/5/2018,May,2018,40
Jayashankar Bhoopalpally,1/6/2018,June,2018,35
Jayashankar Bhoopalpally,1/7/2018,July,2018,40
Jayashankar Bhoopalpally,1/8/2018,August,2018,35
Jayashankar Bhoopalpally,1/9/2018,September,2018,40
Jayashankar Bhoopalpally,1/10/2018,October,2018,40
Jayashankar Bhoopalpally,1/11/2018,November,2018,40
Jayashankar Bhoopalpally,1/12/2018,December,2018,44
Jogulamba Gadwal ,1/1/2018,January,2018,36
Jogulamba Gadwal ,1/2/2018,February,2018,6
Jogulamba Gadwal ,1/3/2018,March,2018,22
Jogulamba Gadwal ,1/4/2018,April,2018,15
Jogulamba Gadwal ,1/5/2018,May,2018,19
Jogulamba Gadwal ,1/6/2018,June,2018,19
Jogulamba Gadwal ,1/7/2018,July,2018,37
Jogulamba Gadwal ,1/8/2018,August,2018,42
Jogulamba Gadwal ,1/9/2018,September,2018,35
Jogulamba Gadwal ,1/10/2018,October,2018,13
Jogulamba Gadwal ,1/11/2018,November,2018,45
Jogulamba Gadwal ,1/12/2018,December,2018,11
Kamareddy ,1/1/2018,January,2018,0
Kamareddy ,1/2/2018,February,2018,0
Kamareddy ,1/3/2018,March,2018,0
Kamareddy ,1/4/2018,April,2018,0
Kamareddy ,1/5/2018,May,2018,0
Kamareddy ,1/6/2018,June,2018,0
Kamareddy ,1/7/2018,July,2018,0
Kamareddy ,1/8/2018,August,2018,0
Kamareddy ,1/9/2018,September,2018,0
Kamareddy ,1/10/2018,October,2018,0
Kamareddy ,1/11/2018,November,2018,0
Kamareddy ,1/12/2018,December,2018,0
Karimnagar ,1/1/2018,January,2018,0
Karimnagar ,1/2/2018,February,2018,0
Karimnagar ,1/3/2018,March,2018,0
Karimnagar ,1/4/2018,April,2018,0
Karimnagar ,1/5/2018,May,2018,0
Karimnagar ,1/6/2018,June,2018,0
Karimnagar ,1/7/2018,July,2018,0
Karimnagar ,1/8/2018,August,2018,0
Karimnagar ,1/9/2018,September,2018,0
Karimnagar ,1/10/2018,October,2018,0
Karimnagar ,1/11/2018,November,2018,0
Karimnagar ,1/12/2018,December,2018,0
Khammam,1/1/2018,January,2018,0
Khammam,1/2/2018,February,2018,0
Khammam,1/3/2018,March,2018,0
Khammam,1/4/2018,April,2018,0
Khammam,1/5/2018,May,2018,0
Khammam,1/6/2018,June,2018,0
Khammam,1/7/2018,July,2018,0
Khammam,1/8/2018,August,2018,0
Khammam,1/9/2018,September,2018,0
Khammam,1/10/2018,October,2018,0
Khammam,1/11/2018,November,2018,0
Khammam,1/12/2018,December,2018,0
Komaram Bheem Asifabad,1/1/2018,January,2018,0
Komaram Bheem Asifabad,1/2/2018,February,2018,0
Komaram Bheem Asifabad,1/3/2018,March,2018,0
Komaram Bheem Asifabad,1/4/2018,April,2018,0
Komaram Bheem Asifabad,1/5/2018,May,2018,0
Komaram Bheem Asifabad,1/6/2018,June,2018,0
Komaram Bheem Asifabad,1/7/2018,July,2018,0
Komaram Bheem Asifabad,1/8/2018,August,2018,0
Komaram Bheem Asifabad,1/9/2018,September,2018,0
Komaram Bheem Asifabad,1/10/2018,October,2018,0
Komaram Bheem Asifabad,1/11/2018,November,2018,0
Komaram Bheem Asifabad,1/12/2018,December,2018,0
Mahabubabad ,1/1/2018,January,2018,0
Mahabubabad ,1/2/2018,February,2018,0
Mahabubabad ,1/3/2018,March,2018,0
Mahabubabad ,1/4/2018,April,2018,0
Mahabubabad ,1/5/2018,May,2018,0
Mahabubabad ,1/6/2018,June,2018,0
Mahabubabad ,1/7/2018,July,2018,0
Mahabubabad ,1/8/2018,August,2018,0
Mahabubabad ,1/9/2018,September,2018,0
Mahabubabad ,1/10/2018,October,2018,0
Mahabubabad ,1/11/2018,November,2018,0
Mahabubabad ,1/12/2018,December,2018,0
Mahbubnagar,1/1/2018,January,2018,45
Mahbubnagar,1/2/2018,February,2018,29
Mahbubnagar,1/3/2018,March,2018,28
Mahbubnagar,1/4/2018,April,2018,26
Mahbubnagar,1/5/2018,May,2018,26
Mahbubnagar,1/6/2018,June,2018,26
Mahbubnagar,1/7/2018,July,2018,47
Mahbubnagar,1/8/2018,August,2018,44
Mahbubnagar,1/9/2018,September,2018,52
Mahbubnagar,1/10/2018,October,2018,37
Mahbubnagar,1/11/2018,November,2018,68
Mahbubnagar,1/12/2018,December,2018,26
Mancherial,1/1/2018,January,2018,0
Mancherial,1/2/2018,February,2018,0
Mancherial,1/3/2018,March,2018,0
Mancherial,1/4/2018,April,2018,0
Mancherial,1/5/2018,May,2018,0
Mancherial,1/6/2018,June,2018,0
Mancherial,1/7/2018,July,2018,0
Mancherial,1/8/2018,August,2018,0
Mancherial,1/9/2018,September,2018,0
Mancherial,1/10/2018,October,2018,0
Mancherial,1/11/2018,November,2018,0
Mancherial,1/12/2018,December,2018,0
Medak ,1/1/2018,January,2018,0
Medak ,1/2/2018,February,2018,0
Medak ,1/3/2018,March,2018,0
Medak ,1/4/2018,April,2018,0
Medak ,1/5/2018,May,2018,0
Medak ,1/6/2018,June,2018,0
Medak ,1/7/2018,July,2018,0
Medak ,1/8/2018,August,2018,0
Medak ,1/9/2018,September,2018,0
Medak ,1/10/2018,October,2018,0
Medak ,1/11/2018,November,2018,0
Medak ,1/12/2018,December,2018,0
Nagarkurnool ,1/1/2018,January,2018,35
Nagarkurnool ,1/2/2018,February,2018,15
Nagarkurnool ,1/3/2018,March,2018,14
Nagarkurnool ,1/4/2018,April,2018,15
Nagarkurnool ,1/5/2018,May,2018,19
Nagarkurnool ,1/6/2018,June,2018,15
Nagarkurnool ,1/7/2018,July,2018,17
Nagarkurnool ,1/8/2018,August,2018,22
Nagarkurnool ,1/9/2018,September,2018,22
Nagarkurnool ,1/10/2018,October,2018,8
Nagarkurnool ,1/11/2018,November,2018,30
Nagarkurnool ,1/12/2018,December,2018,10
Nalgonda,1/1/2018,January,2018,0
Nalgonda,1/2/2018,February,2018,0
Nalgonda,1/3/2018,March,2018,0
Nalgonda,1/4/2018,April,2018,0
Nalgonda,1/5/2018,May,2018,0
Nalgonda,1/6/2018,June,2018,0
Nalgonda,1/7/2018,July,2018,0
Nalgonda,1/8/2018,August,2018,0
Nalgonda,1/9/2018,September,2018,0
Nalgonda,1/10/2018,October,2018,0
Nalgonda,1/11/2018,November,2018,0
Nalgonda,1/12/2018,December,2018,0
Nirmal,1/1/2018,January,2018,2
Nirmal,1/2/2018,February,2018,2
Nirmal,1/3/2018,March,2018,2
Nirmal,1/4/2018,April,2018,2
Nirmal,1/5/2018,May,2018,2
Nirmal,1/6/2018,June,2018,2
Nirmal,1/7/2018,July,2018,2
Nirmal,1/8/2018,August,2018,2
Nirmal,1/9/2018,September,2018,2
Nirmal,1/10/2018,October,2018,2
Nirmal,1/11/2018,November,2018,2
Nirmal,1/12/2018,December,2018,2
Nizamabad,1/1/2018,January,2018,1
Nizamabad,1/2/2018,February,2018,1
Nizamabad,1/3/2018,March,2018,1
Nizamabad,1/4/2018,April,2018,1
Nizamabad,1/5/2018,May,2018,1
Nizamabad,1/6/2018,June,2018,1
Nizamabad,1/7/2018,July,2018,1
Nizamabad,1/8/2018,August,2018,1
Nizamabad,1/9/2018,September,2018,1
Nizamabad,1/10/2018,October,2018,1
Nizamabad,1/11/2018,November,2018,1
Nizamabad,1/12/2018,December,2018,1
Peddapalli,1/1/2018,January,2018,0
Peddapalli,1/2/2018,February,2018,0
Peddapalli,1/3/2018,March,2018,0
Peddapalli,1/4/2018,April,2018,0
